Shop Name,Product Name,Product Category,Quantity Sold,Price Per Unit,Total Sales
Pantry Essentials,Air Freshener,Household,7,3.50,24.50
Urban Tech,Drawing Tablet,Tech,1,149.99,149.99
Daily Grocer,Pasta,Daily Use,11,2.49,27.39
The Snack Shack,Crackers,Snacks,13,2.99,38.87
Metro Electronics,Ethernet Cable,Tech,6,11.99,71.94
Pantry Essentials,Dustpan,Household,2,6.99,13.98
Urban Tech,Phone Holder,Tech,8,12.50,100.00
Daily Grocer,Rice,Daily Use,5,7.99,39.95
The Snack Shack,Nuts,Snacks,8,5.49,43.92
Metro Electronics,Memory Card,Tech,7,18.99,132.93
Pantry Essentials,Gloves,Household,6,4.25,25.50
Urban Tech,Cable Organizer,Tech,10,7.99,79.90
Daily Grocer,Salad Dressing,Daily Use,4,3.75,15.00
The Snack Shack,Protein Bar,Snacks,12,3.25,39.00
Metro Electronics,Mouse,Tech,5,15.99,79.95
Pantry Essentials,Bucket,Household,1,9.99,9.99
Urban Tech,Microphone,Tech,2,59.99,119.98
Daily Grocer,Frozen Pizza,Daily Use,3,6.99,20.97
The Snack Shack,Ice Cream,Snacks,6,4.99,29.94
Metro Electronics,Tablet Case,Tech,3,22.99,68.97
Pantry Essentials,Scrub Brush,Household,8,3.99,31.92
Urban Tech,LED Light Strip,Tech,4,18.99,75.96
Daily Grocer,Honey,Daily Use,2,7.50,15.00
The Snack Shack,Licorice,Snacks,10,2.49,24.90
Metro Electronics,Stylus Pen,Tech,6,12.99,77.94
Pantry Essentials,Storage Bins,Household,3,11.99,35.97
Urban Tech,Desk Lamp,Tech,2,32.99,65.98
Daily Grocer,Jam,Daily Use,5,4.99,24.95
The Snack Shack,Mints,Snacks,25,0.99,24.75
Metro Electronics,SD Card Reader,Tech,4,14.99,59.96
Pantry Essentials,Hangers,Household,12,1.99,23.88
Urban Tech,Cable,Tech,9,6.99,62.91
Daily Grocer,Peanut Butter,Daily Use,4,5.49,21.96
The Snack Shack,Fruit Snacks,Snacks,17,1.99,33.83
Metro Electronics,Router,Tech,1,69.99,69.99
Pantry Essentials,Toilet Brush,Household,2,8.50,17.00
Urban Tech,Monitor Arm,Tech,1,79.99,79.99
Daily Grocer,Maple Syrup,Daily Use,3,8.99,26.97
The Snack Shack,Energy Drink,Snacks,14,2.99,41.86
Metro Electronics,Smart Watch Band,Tech,5,16.99,84.95
Pantry Essentials,Dish Rack,Household,1,14.99,14.99
Urban Tech,Surge Protector,Tech,3,24.99,74.97
Daily Grocer,Tomato Sauce,Daily Use,8,2.75,22.00
The Snack Shack,Chewing Gum,Snacks,22,1.25,27.50
Metro Electronics,Car Charger,Tech,7,13.99,97.93
Pantry Essentials,Shower Curtain,Household,1,19.99,19.99
Urban Tech,Docking Station,Tech,1,99.99,99.99
Daily Grocer,Canned Soup,Daily Use,10,2.99,29.90
The Snack Shack,Sunflower Seeds,Snacks,9,1.89,17.01
Metro Electronics,Portable SSD,Tech,2,119.99,239.98
Pantry Essentials,Plunger,Household,1,11.50,11.50
